,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2,2078,2003-04,00,1610612759,SAS,26.0,53,5,664.0,71,159,0.447,2,9,0.222,33,43,0.767,10,69,79,81,28,5,29,59,177
0,2679,2003-04,00,1610612757,POR,23.0,13,0,45.0,5,11,0.455,1,3,0.333,2,2,1.0,0,3,3,1,0,0,2,3,13
1,2679,2003-04,00,1610612759,SAS,23.0,3,0,22.0,2,5,0.4,0,0,0.0,2,4,0.5,1,2,3,1,1,0,4,5,6
2,2679,2003-04,00,0,TOT,23.0,16,0,67.0,7,16,0.438,1,3,0.333,4,6,0.667,1,5,6,2,1,0,6,8,19
13,109,2003-04,00,1610612759,SAS,33.0,81,1,1290.0,141,348,0.405,41,108,0.38,69,107,0.645,108,164,272,101,48,49,55,165,392
5,1725,2003-04,00,1610612759,SAS,28.0,82,82,2353.0,328,700,0.469,0,0,0.0,54,114,0.474,257,376,633,114,51,165,107,247,710
2,2225,2003-04,00,1610612759,SAS,22.0,75,75,2577.0,423,946,0.447,62,199,0.312,191,272,0.702,43,194,237,411,61,7,179,148,1099
0,2682,2003-04,00,1610612759,SAS,24.0,2,0,13.0,1,7,0.143,0,0,0.0,1,2,0.5,0,0,0,0,2,0,1,0,3
9,1477,2003-04,00,1610612759,SAS,33.0,82,82,2624.0,211,502,0.42,77,212,0.363,66,114,0.579,45,208,253,113,84,33,90,166,565
3,2045,2003-04,00,1610612759,SAS,25.0,80,44,2075.0,262,645,0.406,101,241,0.419,114,161,0.708,52,306,358,154,80,32,94,165,739
9,369,2003-04,00,1610612752,NYK,33.0,35,10,828.0,115,260,0.442,59,138,0.428,16,21,0.762,10,86,96,170,47,8,69,74,305
10,369,2003-04,00,1610612759,SAS,33.0,36,0,425.0,45,130,0.346,25,68,0.368,4,6,0.667,2,46,48,45,17,3,27,33,119
11,369,2003-04,00,0,TOT,33.0,71,10,1253.0,160,390,0.41,84,206,0.408,20,27,0.741,12,132,144,215,64,11,96,107,424
1,1938,2003-04,00,1610612759,SAS,26.0,77,38,2258.0,330,789,0.418,88,245,0.359,239,298,0.802,86,258,344,291,136,16,161,181,987
6,1495,2003-04,00,1610612759,SAS,28.0,69,68,2527.0,592,1181,0.501,2,12,0.167,352,588,0.599,227,632,859,213,62,185,183,164,1538
3,2484,2003-04,00,1610612759,SAS,25.0,58,0,626.0,85,196,0.434,4,14,0.286,60,74,0.811,38,92,130,33,15,4,38,61,234
7,990,2003-04,00,1610612759,SAS,29.0,67,13,1254.0,173,404,0.428,0,3,0.0,183,225,0.813,110,210,320,69,36,24,112,164,529
24,788,2003-04,00,1610612759,SAS,41.0,48,0,372.0,70,150,0.467,0,1,0.0,24,39,0.615,37,61,98,11,21,9,32,61,164
