,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
5,2240,2006-07,00,1610612764,WAS,25.0,74,73,2942.0,647,1548,0.418,205,584,0.351,606,718,0.844,61,277,338,443,139,13,236,249,2105
8,2052,2006-07,00,1610612764,WAS,26.0,82,82,2419.0,347,753,0.461,74,183,0.404,152,216,0.704,55,161,216,218,65,19,119,155,920
4,2406,2006-07,00,1610612764,WAS,27.0,63,63,2474.0,451,975,0.463,18,72,0.25,283,328,0.863,147,320,467,233,134,17,181,188,1203
8,1712,2006-07,00,1610612764,WAS,31.0,70,70,2662.0,512,1139,0.45,138,379,0.364,226,307,0.736,134,428,562,136,80,36,104,194,1388
9,1498,2006-07,00,1610612764,WAS,32.0,80,8,1761.0,172,389,0.442,19,63,0.302,208,250,0.832,18,133,151,290,39,9,69,79,571
4,2427,2006-07,00,1610612764,WAS,26.0,62,0,492.0,59,179,0.33,33,102,0.324,14,16,0.875,7,38,45,35,13,6,19,66,165
3,2443,2006-07,00,1610612764,WAS,29.0,37,1,700.0,118,225,0.524,0,2,0.0,46,54,0.852,44,90,134,38,17,10,43,105,282
1,101182,2006-07,00,1610612764,WAS,24.0,47,1,369.0,56,140,0.4,3,17,0.176,11,21,0.524,14,39,53,45,17,3,25,34,126
3,2553,2006-07,00,1610612764,WAS,25.0,81,17,1626.0,224,546,0.41,66,183,0.361,71,84,0.845,42,168,210,80,48,13,56,160,585
1,101154,2006-07,00,1610612764,WAS,20.0,56,13,682.0,86,197,0.437,4,27,0.148,30,49,0.612,77,114,191,39,17,32,49,94,206
5,2217,2006-07,00,1610612764,WAS,27.0,77,49,1740.0,198,355,0.558,0,0,0.0,115,210,0.548,195,282,477,47,34,88,90,208,511
5,2041,2006-07,00,1610612764,WAS,29.0,65,32,1246.0,159,277,0.574,0,0,0.0,77,138,0.558,136,241,377,29,22,89,71,162,395
0,200837,2006-07,00,1610612764,WAS,23.0,2,0,13.0,1,4,0.25,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,2
6,1913,2006-07,00,1610612764,WAS,30.0,30,0,271.0,5,18,0.278,0,0,0.0,7,19,0.368,35,27,62,6,6,8,12,43,17
11,1916,2006-07,00,1610612764,WAS,31.0,44,1,380.0,31,66,0.47,1,2,0.5,6,10,0.6,27,54,81,18,4,29,9,71,69
