,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
4,2240,2005-06,00,1610612764,WAS,24.0,80,80,3384.0,746,1668,0.447,199,540,0.369,655,799,0.82,59,221,280,484,161,25,297,286,2346
3,2407,2005-06,00,1610612764,WAS,24.0,77,77,1951.0,187,415,0.451,16,50,0.32,99,168,0.589,164,215,379,148,58,50,99,223,489
3,2406,2005-06,00,1610612764,WAS,26.0,75,54,2708.0,494,1086,0.455,41,120,0.342,289,332,0.87,114,352,466,186,127,18,175,238,1318
7,1712,2005-06,00,1610612764,WAS,30.0,82,80,3288.0,660,1494,0.442,147,373,0.394,217,297,0.731,167,598,765,158,90,12,137,189,1684
8,1498,2005-06,00,1610612764,WAS,31.0,80,17,2283.0,230,550,0.418,23,101,0.228,284,336,0.845,19,153,172,284,52,8,89,96,767
1,2873,2005-06,00,1610612764,WAS,30.0,17,0,131.0,13,40,0.325,10,30,0.333,2,2,1.0,5,9,14,9,10,1,6,19,38
0,101182,2005-06,00,1610612764,WAS,23.0,51,1,465.0,53,136,0.39,4,17,0.235,30,43,0.698,16,37,53,45,30,4,34,47,140
0,101154,2005-06,00,1610612764,WAS,19.0,29,0,175.0,26,67,0.388,3,13,0.231,10,12,0.833,12,26,38,10,5,7,12,36,65
4,2217,2005-06,00,1610612764,WAS,26.0,79,70,1879.0,222,432,0.514,0,0,0.0,131,224,0.585,200,267,467,46,30,104,97,232,575
1,2852,2005-06,00,1610612764,WAS,29.0,25,1,116.0,16,41,0.39,3,7,0.429,8,14,0.571,8,14,22,4,3,1,5,22,43
4,2041,2005-06,00,1610612764,WAS,28.0,71,9,1121.0,131,246,0.533,0,0,0.0,75,125,0.6,99,180,279,14,20,68,51,148,337
5,1913,2005-06,00,1610612764,WAS,29.0,76,4,1010.0,34,77,0.442,0,2,0.0,37,74,0.5,122,149,271,27,33,31,38,179,105
10,1916,2005-06,00,1610612764,WAS,30.0,33,2,250.0,20,47,0.426,1,2,0.5,5,9,0.556,19,33,52,12,9,9,8,44,46
