,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,200796,2007-08,00,1610612738,BOS,24.0,56,5,809.0,154,269,0.572,0,1,0.0,137,193,0.71,95,132,227,15,15,16,43,127,445
12,708,2007-08,00,1610612738,BOS,32.0,71,71,2328.0,534,990,0.539,0,11,0.0,269,336,0.801,135,520,655,244,100,89,138,163,1337
1,200765,2007-08,00,1610612738,BOS,22.0,77,77,2306.0,351,713,0.492,5,19,0.263,107,175,0.611,78,244,322,393,129,13,147,187,814
0,201175,2007-08,00,1610612738,BOS,22.0,69,1,940.0,107,221,0.484,0,0,0.0,99,150,0.66,95,113,208,28,31,20,65,160,313
0,201172,2007-08,00,1610612738,BOS,22.0,15,0,95.0,14,39,0.359,3,12,0.25,1,2,0.5,1,7,8,13,5,0,5,10,32
13,951,2007-08,00,1610612738,BOS,32.0,73,73,2624.0,439,986,0.445,180,452,0.398,215,237,0.907,75,193,268,225,65,16,127,147,1273
19,208,2007-08,00,1610612746,LAC,38.0,38,33,975.0,183,402,0.455,14,54,0.259,106,119,0.891,12,93,105,179,28,3,78,69,486
20,208,2007-08,00,1610612738,BOS,38.0,17,1,299.0,50,130,0.385,9,22,0.409,21,25,0.84,5,26,31,35,9,3,19,29,130
21,208,2007-08,00,0,TOT,38.0,55,34,1273.0,233,532,0.438,23,76,0.303,127,144,0.882,17,119,136,214,37,6,97,98,616
9,1718,2007-08,00,1610612738,BOS,30.0,80,80,2874.0,509,1098,0.464,143,365,0.392,409,485,0.843,53,358,411,363,101,36,221,200,1570
10,1899,2007-08,00,1610612738,BOS,31.0,74,2,1821.0,173,414,0.418,106,279,0.38,93,115,0.809,30,292,322,114,72,19,65,182,545
3,2754,2007-08,00,1610612738,BOS,26.0,75,11,1373.0,169,389,0.434,18,57,0.316,138,181,0.762,34,134,168,114,62,21,109,168,494
4,2570,2007-08,00,1610612738,BOS,23.0,78,78,1912.0,214,348,0.615,0,1,0.0,114,183,0.623,145,329,474,84,31,114,125,242,542
6,2243,2007-08,00,1610612738,BOS,30.0,48,9,512.0,29,94,0.309,15,46,0.326,15,20,0.75,22,57,79,40,9,8,26,63,88
10,2067,2007-08,00,1610612738,BOS,30.0,78,2,1480.0,217,531,0.409,117,298,0.393,33,36,0.917,19,148,167,152,59,10,76,114,584
10,1513,2007-08,00,1610612738,BOS,33.0,22,0,173.0,12,23,0.522,0,0,0.0,15,22,0.682,14,23,37,3,3,6,5,43,39
14,136,2007-08,00,1610612738,BOS,38.0,18,0,209.0,14,41,0.341,0,1,0.0,11,16,0.688,29,39,68,10,5,8,10,29,39
