,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
4,962,2000-01,00,1610612738,BOS,27.0,60,3,474.0,45,126,0.357,19,56,0.339,22,28,0.786,24,57,81,39,14,7,20,82,131
3,1499,2000-01,00,1610612738,BOS,25.0,40,25,845.0,108,201,0.537,0,3,0.0,44,69,0.638,73,160,233,16,27,60,37,126,260
0,2040,2000-01,00,1610612738,BOS,23.0,24,0,135.0,12,30,0.4,0,1,0.0,11,26,0.423,12,30,42,3,3,4,18,29,35
4,952,2000-01,00,1610612738,BOS,24.0,81,81,3393.0,711,1720,0.413,221,603,0.367,249,348,0.716,151,568,719,445,138,49,301,251,1892
1,1960,2000-01,00,1610612738,BOS,23.0,58,6,1141.0,126,267,0.472,12,36,0.333,78,92,0.848,25,77,102,151,48,0,80,83,342
1,1914,2000-01,00,1610612738,BOS,25.0,25,7,408.0,29,96,0.302,16,55,0.291,9,12,0.75,4,17,21,56,14,0,20,43,83
8,179,2000-01,00,1610612738,BOS,30.0,78,74,2507.0,245,611,0.401,91,242,0.376,175,207,0.845,65,219,284,168,93,14,90,182,756
0,1548,2000-01,00,1610612738,BOS,25.0,64,50,1098.0,101,200,0.505,0,0,0.0,46,66,0.697,97,134,231,32,39,76,62,183,248
2,1718,2000-01,00,1610612738,BOS,23.0,82,82,3124.0,687,1513,0.454,147,384,0.383,550,738,0.745,94,428,522,253,138,69,262,251,2071
1,1559,2000-01,00,1610612738,BOS,26.0,44,0,376.0,33,97,0.34,9,26,0.346,18,24,0.75,27,60,87,27,18,5,18,45,93
6,958,2000-01,00,1610612738,BOS,26.0,82,7,1901.0,248,521,0.476,0,0,0.0,115,158,0.728,206,289,495,64,52,23,105,228,611
5,677,2000-01,00,1610612738,BOS,28.0,81,11,1743.0,162,448,0.362,46,139,0.331,165,231,0.714,64,143,207,112,64,13,76,179,535
