,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
8,101154,2013-14,00,1610612751,BKN,27.0,73,7,1618.0,321,674,0.476,15,54,0.278,164,221,0.742,120,270,390,112,75,38,110,166,821
0,203486,2013-14,00,1610612751,BKN,24.0,70,22,1275.0,199,302,0.659,0,3,0.0,122,195,0.626,99,209,308,60,49,55,77,171,520
18,708,2013-14,00,1610612751,BKN,38.0,54,54,1109.0,157,356,0.441,0,3,0.0,38,47,0.809,60,298,358,82,43,40,69,123,352
4,101187,2013-14,00,1610612751,BKN,31.0,78,26,1773.0,194,485,0.4,84,248,0.339,92,118,0.78,40,135,175,81,48,11,62,147,564
14,2207,2013-14,00,1610612751,BKN,33.0,79,79,2575.0,462,1018,0.454,162,404,0.401,159,195,0.815,48,222,270,216,47,10,120,129,1245
10,101114,2013-14,00,1610612751,BKN,30.0,64,58,2059.0,322,716,0.45,98,268,0.366,173,216,0.801,15,153,168,392,93,13,143,148,915
6,201977,2013-14,00,1610612758,SAC,27.0,46,26,1121.0,142,373,0.381,57,179,0.318,42,52,0.808,39,85,124,47,31,8,38,74,383
7,201977,2013-14,00,1610612751,BKN,27.0,26,1,620.0,110,266,0.414,52,137,0.38,48,60,0.8,18,56,74,30,27,3,29,36,320
8,201977,2013-14,00,0,TOT,27.0,72,27,1741.0,252,639,0.394,109,316,0.345,90,112,0.804,57,141,198,77,58,11,67,110,703
5,201572,2013-14,00,1610612751,BKN,26.0,17,17,533.0,129,229,0.563,0,1,0.0,94,115,0.817,39,63,102,16,9,30,28,52,352
1,203104,2013-14,00,1610612741,CHI,21.0,19,2,242.0,16,66,0.242,2,10,0.2,11,16,0.688,1,18,19,28,2,4,17,25,45
2,203104,2013-14,00,1610612751,BKN,21.0,21,1,201.0,22,53,0.415,3,8,0.375,15,19,0.789,0,21,21,30,8,1,22,21,62
3,203104,2013-14,00,0,TOT,21.0,40,3,442.0,38,119,0.319,5,18,0.278,26,35,0.743,1,39,40,58,10,5,39,46,107
0,203268,2013-14,00,1610612751,BKN,25.0,15,2,244.0,25,54,0.463,3,12,0.25,9,12,0.75,3,19,22,30,10,1,14,37,62
14,2733,2013-14,00,1610612751,BKN,28.0,76,54,1974.0,235,487,0.483,1,6,0.167,158,191,0.827,67,179,246,245,93,31,105,172,629
1,203141,2013-14,00,1610612751,BKN,28.0,72,7,1396.0,221,529,0.418,136,349,0.39,44,62,0.71,60,206,266,57,29,23,54,143,622
15,1718,2013-14,00,1610612751,BKN,36.0,75,68,2098.0,321,712,0.451,112,300,0.373,256,310,0.826,26,322,348,178,86,31,153,190,1010
11,1905,2013-14,00,1610612751,BKN,33.0,45,4,857.0,82,160,0.513,1,5,0.2,61,119,0.513,55,91,146,72,40,19,54,65,226
16,2215,2013-14,00,1610612751,BKN,35.0,22,1,172.0,11,24,0.458,0,3,0.0,3,4,0.75,7,12,19,4,8,1,7,30,25
