,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2,200797,2008-09,00,1610612766,CHA,24.0,18,1,184.0,19,35,0.543,0,0,0.0,26,39,0.667,19,17,36,4,3,17,10,34,64
3,200797,2008-09,00,1610612742,DAL,24.0,27,2,260.0,31,59,0.525,0,0,0.0,17,33,0.515,27,34,61,3,4,15,14,44,79
4,200797,2008-09,00,0,TOT,24.0,45,3,444.0,50,94,0.532,0,0,0.0,43,72,0.597,46,51,97,7,7,32,24,78,143
18,467,2008-09,00,1610612742,DAL,36.0,81,81,2886.0,257,618,0.416,131,323,0.406,86,105,0.819,85,415,500,702,160,39,185,168,731
2,200761,2008-09,00,1610612742,DAL,23.0,15,0,170.0,16,56,0.286,1,17,0.059,9,11,0.818,19,27,46,2,2,9,5,19,42
5,2572,2008-09,00,1610612742,DAL,29.0,52,51,1663.0,353,783,0.451,58,168,0.345,172,220,0.782,59,204,263,83,55,30,89,135,936
5,101123,2008-09,00,1610612742,DAL,23.0,38,12,376.0,79,180,0.439,14,46,0.304,27,32,0.844,14,40,54,15,10,5,33,51,199
2,200826,2008-09,00,1610612742,DAL,25.0,79,15,1600.0,246,557,0.442,55,154,0.357,70,93,0.753,36,141,177,269,37,5,105,121,617
7,2679,2008-09,00,1610612766,CHA,28.0,34,10,475.0,56,138,0.406,12,45,0.267,15,19,0.789,5,50,55,24,18,5,26,53,139
8,2679,2008-09,00,1610612742,DAL,28.0,21,0,141.0,9,33,0.273,1,8,0.125,6,6,1.0,2,12,14,3,3,1,7,14,25
9,2679,2008-09,00,0,TOT,28.0,55,10,616.0,65,171,0.38,13,53,0.245,21,25,0.84,7,62,69,27,21,6,33,67,164
5,101120,2008-09,00,1610612742,DAL,25.0,65,53,1552.0,179,431,0.415,45,149,0.302,71,95,0.747,31,105,136,77,46,27,54,172,474
12,956,2008-09,00,1610612742,DAL,33.0,80,80,1836.0,182,280,0.65,0,0,0.0,90,141,0.638,216,349,565,77,24,95,74,191,454
9,1891,2008-09,00,1610612742,DAL,31.0,74,11,2491.0,541,1168,0.463,167,456,0.366,198,225,0.88,39,138,177,251,97,20,119,141,1447
3,101138,2008-09,00,1610612742,DAL,24.0,81,0,1574.0,252,508,0.496,0,6,0.0,182,210,0.867,129,238,367,43,27,55,86,140,686
2,101189,2008-09,00,1610612742,DAL,27.0,62,6,884.0,117,221,0.529,13,40,0.325,67,78,0.859,89,161,250,17,26,28,36,110,314
9,1904,2008-09,00,1610612742,DAL,31.0,43,17,708.0,54,142,0.38,22,76,0.289,17,22,0.773,25,53,78,15,23,11,17,57,147
10,1717,2008-09,00,1610612742,DAL,31.0,81,81,3050.0,774,1616,0.479,61,170,0.359,485,545,0.89,88,593,681,197,61,63,157,176,2094
15,711,2008-09,00,1610612742,DAL,34.0,10,1,162.0,16,60,0.267,3,19,0.158,7,7,1.0,5,12,17,12,4,1,9,6,42
