,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
10,696,2003-04,00,1610612742,DAL,31.0,61,1,764.0,64,172,0.372,3,20,0.15,40,46,0.87,17,51,68,112,31,4,33,66,171
10,714,2003-04,00,1610612742,DAL,31.0,72,72,2778.0,514,1159,0.443,150,370,0.405,164,193,0.85,78,247,325,212,84,39,83,118,1342
0,2572,2003-04,00,1610612742,DAL,24.0,67,29,1587.0,229,532,0.43,20,66,0.303,97,138,0.703,149,219,368,97,69,54,67,168,575
0,2605,2003-04,00,1610612742,DAL,23.0,56,15,1037.0,203,411,0.494,11,36,0.306,60,78,0.769,66,80,146,116,53,12,44,51,477
11,960,2003-04,00,1610612742,DAL,30.0,33,11,511.0,70,184,0.38,20,66,0.303,37,44,0.841,16,43,59,28,27,7,17,46,197
7,952,2003-04,00,1610612742,DAL,27.0,82,82,2840.0,483,1129,0.428,82,305,0.269,103,186,0.554,198,486,684,369,65,65,202,212,1151
7,959,2003-04,00,1610612742,DAL,30.0,78,78,2613.0,397,845,0.47,104,257,0.405,230,251,0.916,59,173,232,687,67,8,209,139,1128
3,2059,2003-04,00,1610612742,DAL,27.0,58,7,720.0,72,162,0.444,2,4,0.5,30,46,0.652,67,89,156,25,35,19,29,90,176
6,1504,2003-04,00,1610612742,DAL,28.0,56,20,626.0,71,139,0.511,0,0,0.0,75,92,0.815,114,136,250,9,12,11,37,148,217
5,1712,2003-04,00,1610612742,DAL,28.0,82,2,2376.0,488,913,0.535,16,40,0.4,220,294,0.748,233,287,520,70,83,30,81,174,1212
5,1717,2003-04,00,1610612742,DAL,26.0,77,77,2914.0,605,1310,0.462,99,290,0.341,371,423,0.877,90,580,670,207,92,104,135,216,1680
15,281,2003-04,00,1610612756,PHX,36.0,16,10,271.0,53,101,0.525,2,2,1.0,9,13,0.692,23,49,72,6,15,7,6,45,117
16,281,2003-04,00,1610612742,DAL,36.0,27,11,260.0,37,85,0.435,0,1,0.0,7,14,0.5,15,45,60,11,5,9,10,50,81
17,281,2003-04,00,0,TOT,36.0,43,21,531.0,90,186,0.484,2,3,0.667,16,27,0.593,38,94,132,17,20,16,16,95,198
14,762,2003-04,00,1610612742,DAL,32.0,66,5,771.0,89,188,0.473,0,1,0.0,41,49,0.837,72,101,173,20,33,74,17,130,219
