,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
17,271,2001-02,00,1610612742,DAL,38.0,47,17,725.0,67,148,0.453,22,57,0.386,42,58,0.724,9,40,49,14,29,4,21,88,198
8,714,2001-02,00,1610612742,DAL,29.0,69,69,2754.0,569,1228,0.463,76,224,0.339,210,251,0.837,90,270,360,230,65,25,117,144,1424
2,1559,2001-02,00,1610612742,DAL,27.0,58,34,1387.0,179,359,0.499,16,54,0.296,41,49,0.837,68,161,229,106,75,12,42,142,415
5,959,2001-02,00,1610612742,DAL,28.0,82,82,2838.0,525,1088,0.483,156,343,0.455,260,293,0.887,50,204,254,634,53,4,229,164,1466
1,2059,2001-02,00,1610612742,DAL,25.0,62,11,1357.0,150,300,0.5,0,2,0.0,100,148,0.676,149,193,342,38,56,30,40,156,400
1,1917,2001-02,00,1610612742,DAL,24.0,55,0,594.0,109,248,0.44,48,116,0.414,42,57,0.737,19,92,111,22,11,18,25,84,308
2,1761,2001-02,00,1610612742,DAL,25.0,44,16,885.0,104,198,0.525,5,16,0.313,40,58,0.69,67,106,173,48,31,19,27,124,253
8,89,2001-02,00,1610612743,DEN,30.0,45,44,1739.0,372,912,0.408,85,252,0.337,136,174,0.782,19,150,169,365,30,7,116,69,965
9,89,2001-02,00,1610612742,DAL,30.0,27,2,757.0,129,314,0.411,34,98,0.347,65,77,0.844,9,76,85,113,14,4,40,35,357
10,89,2001-02,00,0,TOT,30.0,72,46,2498.0,501,1226,0.409,119,350,0.34,201,251,0.801,28,226,254,478,44,11,156,104,1322
3,1717,2001-02,00,1610612742,DAL,24.0,76,76,2891.0,600,1258,0.477,139,350,0.397,440,516,0.853,120,635,755,186,83,77,145,222,1779
2,1915,2001-02,00,1610612742,DAL,27.0,31,6,299.0,21,50,0.42,0,0,0.0,20,33,0.606,35,63,98,9,10,9,16,60,62
12,762,2001-02,00,1610612742,DAL,30.0,53,16,757.0,78,163,0.479,0,1,0.0,59,64,0.922,53,123,176,20,28,64,25,128,215
3,1711,2001-02,00,1610612743,DEN,26.0,51,51,1665.0,307,659,0.466,75,173,0.434,70,105,0.667,117,262,379,60,31,153,60,173,759
4,1711,2001-02,00,1610612742,DAL,26.0,27,25,789.0,114,261,0.437,29,95,0.305,35,46,0.761,59,141,200,29,24,60,34,108,292
5,1711,2001-02,00,0,TOT,26.0,78,76,2454.0,421,920,0.458,104,268,0.388,105,151,0.695,176,403,579,89,55,213,94,281,1051
