,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
5,201564,2013-14,00,1610612749,MIL,26.0,52,23,1346.0,224,550,0.407,84,227,0.37,76,88,0.864,24,100,124,113,28,13,95,111,608
5,202327,2013-14,00,1610612749,MIL,27.0,42,14,804.0,57,143,0.399,0,0,0.0,30,47,0.638,61,87,148,31,15,44,38,96,144
0,203489,2013-14,00,1610612749,MIL,23.0,58,31,1309.0,170,389,0.437,18,62,0.29,59,90,0.656,33,116,149,187,35,15,57,67,417
5,101141,2013-14,00,1610612749,MIL,27.0,55,47,1478.0,237,579,0.409,37,131,0.282,107,130,0.823,107,235,342,72,46,8,61,135,618
3,202336,2013-14,00,1610612749,MIL,25.0,23,20,584.0,76,162,0.469,0,1,0.0,26,55,0.473,60,105,165,19,18,40,26,74,178
0,203545,2013-14,00,1610612749,MIL,26.0,48,2,465.0,68,126,0.54,0,0,0.0,45,55,0.818,54,54,108,23,7,13,28,84,181
2,202688,2013-14,00,1610612749,MIL,22.0,72,69,2400.0,461,1092,0.422,110,338,0.325,259,323,0.802,46,209,255,352,69,17,188,146,1291
3,202399,2013-14,00,1610612766,CHA,28.0,25,0,256.0,22,40,0.55,0,0,0.0,13,25,0.52,33,55,88,7,7,15,8,35,57
4,202399,2013-14,00,1610612749,MIL,28.0,28,12,705.0,121,235,0.515,0,0,0.0,63,94,0.67,69,149,218,31,17,21,31,73,305
5,202399,2013-14,00,0,TOT,28.0,53,12,962.0,143,275,0.52,0,0,0.0,76,119,0.639,102,204,306,38,24,36,39,108,362
8,201196,2013-14,00,1610612766,CHA,28.0,55,7,1305.0,190,465,0.409,15,68,0.221,183,234,0.782,22,95,117,206,33,6,93,50,578
9,201196,2013-14,00,1610612749,MIL,28.0,28,12,909.0,140,304,0.461,20,56,0.357,143,170,0.841,16,70,86,134,16,3,55,40,443
10,201196,2013-14,00,0,TOT,28.0,83,19,2214.0,330,769,0.429,35,124,0.282,326,404,0.807,38,165,203,340,49,9,148,90,1021
1,202874,2013-14,00,1610612749,MIL,25.0,8,0,126.0,21,35,0.6,0,1,0.0,6,15,0.4,10,10,20,5,7,5,5,17,48
1,203114,2013-14,00,1610612749,MIL,22.0,82,64,2460.0,376,854,0.44,120,290,0.414,118,137,0.861,60,250,310,169,83,20,123,243,990
10,2585,2013-14,00,1610612749,MIL,30.0,53,43,1325.0,149,349,0.427,0,1,0.0,110,130,0.846,141,192,333,136,45,14,92,124,408
1,203089,2013-14,00,1610612749,MIL,23.0,70,23,1856.0,344,639,0.538,0,1,0.0,91,177,0.514,171,326,497,113,41,116,114,185,779
0,203507,2013-14,00,1610612749,MIL,19.0,77,23,1897.0,173,418,0.414,41,118,0.347,138,202,0.683,78,261,339,150,60,61,122,173,525
