,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
14,201566,2022-23,00,1610612747,LAL,34.0,52,3,1491.0,304,729,0.417,63,213,0.296,156,238,0.655,59,262,321,391,53,23,184,121,827
15,201566,2022-23,00,1610612746,LAC,34.0,21,21,635.0,128,262,0.489,26,73,0.356,50,76,0.658,30,72,102,160,23,10,71,41,332
16,201566,2022-23,00,0,TOT,34.0,73,24,2126.0,432,991,0.436,89,286,0.311,206,314,0.656,89,334,423,551,76,33,255,162,1159
10,202695,2022-23,00,1610612746,LAC,32.0,52,50,1748.0,446,871,0.512,104,250,0.416,243,279,0.871,57,281,338,204,72,28,88,84,1239
1,1630527,2022-23,00,1610612746,LAC,21.0,22,1,248.0,51,122,0.418,12,29,0.414,29,38,0.763,7,23,30,20,9,0,12,21,143
1,1630538,2022-23,00,1610612743,DEN,22.0,42,1,820.0,173,434,0.399,91,241,0.378,71,82,0.866,10,76,86,125,28,13,67,66,508
2,1630538,2022-23,00,1610612746,LAC,22.0,14,0,265.0,55,137,0.401,26,74,0.351,15,20,0.75,10,39,49,47,11,2,15,30,151
3,1630538,2022-23,00,0,TOT,22.0,56,1,1086.0,228,571,0.399,117,315,0.371,86,102,0.843,20,115,135,172,39,15,82,96,659
3,1629599,2022-23,00,1610612746,LAC,26.0,50,9,625.0,56,145,0.386,11,40,0.275,49,63,0.778,17,36,53,53,7,5,21,50,172
15,202694,2022-23,00,1610612746,LAC,33.0,65,65,1825.0,274,643,0.426,112,308,0.364,68,87,0.782,29,229,258,114,42,21,56,136,728
14,201569,2022-23,00,1610612745,HOU,34.0,47,47,1418.0,210,478,0.439,85,245,0.347,110,135,0.815,12,85,97,136,30,17,83,45,615
15,201569,2022-23,00,1610612746,LAC,34.0,22,11,547.0,81,175,0.463,47,111,0.423,32,38,0.842,4,33,37,47,13,8,21,33,241
16,201569,2022-23,00,0,TOT,34.0,69,58,1966.0,291,653,0.446,132,356,0.371,142,173,0.821,16,118,134,183,43,25,104,78,856
12,202331,2022-23,00,1610612746,LAC,33.0,56,56,1939.0,459,1004,0.457,158,426,0.371,256,294,0.871,45,297,342,288,83,20,176,159,1332
3,1629611,2022-23,00,1610612746,LAC,26.0,81,36,1872.0,272,524,0.519,77,198,0.389,92,118,0.78,77,199,276,184,42,22,80,149,713
1,1629875,2022-23,00,1610612746,LAC,28.0,4,0,20.0,3,9,0.333,1,3,0.333,0,0,0.0,0,3,3,5,0,0,1,2,7
0,1630554,2022-23,00,1610612746,LAC,23.0,14,0,124.0,18,41,0.439,5,18,0.278,0,2,0.0,2,20,22,27,2,0,10,7,41
15,203496,2022-23,00,1610612746,LAC,32.0,48,0,779.0,102,229,0.445,54,136,0.397,30,40,0.75,31,135,166,57,38,33,32,86,288
11,1626181,2022-23,00,1610612746,LAC,30.0,60,8,1567.0,340,710,0.479,114,287,0.397,225,277,0.812,24,151,175,109,50,18,101,125,1019
0,1631217,2022-23,00,1610612746,LAC,21.0,22,1,195.0,24,47,0.511,1,2,0.5,10,16,0.625,31,19,50,4,7,8,9,15,59
14,201587,2022-23,00,1610612746,LAC,34.0,78,19,1710.0,160,381,0.42,124,317,0.391,34,48,0.708,62,237,299,121,54,44,50,149,478
8,1627826,2022-23,00,1610612746,LAC,26.0,76,76,2169.0,326,514,0.634,0,2,0.0,166,238,0.697,236,520,756,77,29,98,117,219,818
11,203486,2022-23,00,1610612766,CHA,33.0,56,56,1596.0,265,396,0.669,0,0,0.0,155,256,0.605,187,354,541,205,35,35,87,161,685
12,203486,2022-23,00,1610612746,LAC,33.0,23,4,457.0,64,88,0.727,0,0,0.0,44,57,0.772,42,117,159,40,11,12,30,56,172
13,203486,2022-23,00,0,TOT,33.0,79,60,2053.0,329,484,0.68,0,0,0.0,199,313,0.636,229,471,700,245,46,47,117,217,857
