,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,2071,2001-02,00,1610612760,SEA,21.0,36,1,222.0,22,41,0.537,0,0,0.0,11,18,0.611,27,52,79,4,4,2,14,36,55
3,1742,2001-02,00,1610612760,SEA,27.0,50,2,603.0,81,193,0.42,28,75,0.373,31,39,0.795,16,47,63,83,21,2,35,35,221
3,1740,2001-02,00,1610612760,SEA,22.0,71,70,2584.0,455,972,0.468,123,316,0.389,162,200,0.81,139,359,498,123,104,40,97,174,1195
5,988,2001-02,00,1610612760,SEA,27.0,13,0,176.0,15,54,0.278,1,8,0.125,10,11,0.909,9,16,25,26,9,2,2,11,41
0,1542,2001-02,00,1610612760,SEA,26.0,64,12,1174.0,191,414,0.461,0,2,0.0,55,73,0.753,75,144,219,51,20,31,51,109,437
11,56,2001-02,00,1610612760,SEA,33.0,82,82,3297.0,737,1578,0.467,74,236,0.314,267,335,0.797,80,316,396,737,131,26,209,179,1815
1,2046,2001-02,00,1610612760,SEA,24.0,75,20,2418.0,357,769,0.464,16,59,0.271,201,237,0.848,92,259,351,104,67,27,104,170,931
0,2248,2001-02,00,1610612760,SEA,23.0,64,0,965.0,96,212,0.453,16,44,0.364,23,36,0.639,31,52,83,125,60,5,51,93,231
8,699,2001-02,00,1610612760,SEA,30.0,81,81,3038.0,401,790,0.508,164,387,0.424,198,234,0.846,58,383,441,426,147,37,165,182,1164
1,1744,2001-02,00,1610612760,SEA,26.0,56,40,952.0,134,273,0.491,0,0,0.0,30,60,0.5,89,143,232,24,25,86,74,174,298
8,452,2001-02,00,1610612760,SEA,30.0,55,41,1710.0,315,649,0.485,1,8,0.125,143,226,0.633,168,182,350,72,22,36,127,197,774
0,1738,2001-02,00,1610612760,SEA,25.0,9,0,142.0,22,44,0.5,0,0,0.0,14,20,0.7,7,13,20,8,3,2,2,18,58
0,2209,2001-02,00,1610612760,SEA,21.0,61,16,1230.0,146,354,0.412,66,157,0.42,49,72,0.681,45,185,230,81,56,24,72,119,407
